gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,some high school,standard,completed,32,51,44
female,group B,high school,free/reduced,none,60,72,68
female,group C,high school,free/reduced,none,66,76,68
female,group B,bachelor's degree,standard,none,97,97,96
female,group A,some college,standard,none,54,63,67
female,group C,some college,standard,none,59,71,70
female,group B,some college,free/reduced,completed,48,56,58
female,group E,some college,standard,completed,86,85,91
female,group C,high school,standard,none,63,69,74
female,group D,some college,standard,none,62,70,72
female,group E,high school,free/reduced,none,41,45,40
female,group C,associate's degree,standard,none,62,74,70
female,group A,high school,standard,completed,75,82,79
female,group C,high school,standard,completed,60,64,74
female,group B,associate's degree,free/reduced,none,53,70,70
female,group C,some high school,free/reduced,none,55,65,62
female,group B,high school,free/reduced,completed,67,80,81
female,group B,master's degree,free/reduced,completed,52,70,62
female,group C,associate's degree,standard,completed,74,75,83
female,group C,some college,free/reduced,none,62,72,70
female,group B,high school,standard,completed,69,76,74
female,group C,associate's degree,standard,none,65,77,74
female,group D,some high school,standard,none,68,71,75
female,group C,some college,free/reduced,none,76,83,88
female,group D,some college,free/reduced,none,71,83,83
female,group D,master's degree,standard,none,78,91,96
female,group D,associate's degree,standard,none,74,81,83
female,group C,some college,standard,completed,88,95,94
female,group B,high school,free/reduced,completed,23,44,36
female,group C,some college,standard,completed,87,89,94
female,group E,bachelor's degree,standard,none,65,73,75
female,group D,master's degree,standard,none,55,64,70
female,group B,high school,standard,none,58,62,59
female,group C,associate's degree,standard,completed,68,67,73
female,group B,associate's degree,standard,completed,61,86,87
female,group E,associate's degree,standard,none,85,92,85
female,group B,associate's degree,free/reduced,none,46,61,55
female,group B,bachelor's degree,standard,completed,66,74,81
female,group C,bachelor's degree,free/reduced,completed,74,86,89
female,group E,associate's degree,standard,none,66,65,69
female,group C,some high school,standard,completed,67,74,77
female,group C,high school,free/reduced,none,42,62,60
female,group C,some high school,standard,none,65,69,76
female,group D,some high school,standard,completed,97,100,100
female,group B,associate's degree,standard,completed,59,70,66
female,group A,some high school,standard,none,71,83,77
female,group B,high school,standard,none,65,64,62
female,group C,high school,free/reduced,completed,59,71,65
female,group C,associate's degree,standard,completed,96,96,99
female,group D,master's degree,standard,none,92,100,100
female,group E,master's degree,free/reduced,none,56,72,65
female,group C,bachelor's degree,free/reduced,none,44,63,62
female,group D,some high school,standard,completed,61,74,72
female,group C,some high school,standard,completed,77,90,85
female,group B,some high school,standard,completed,65,82,78
female,group C,some college,free/reduced,completed,42,66,69
female,group C,associate's degree,standard,none,46,58,57
female,group E,bachelor's degree,standard,completed,99,100,100
female,group D,associate's degree,free/reduced,none,52,59,56
female,group D,some high school,standard,none,59,72,80
female,group C,bachelor's degree,free/reduced,none,62,78,79
female,group B,master's degree,free/reduced,completed,58,76,78
female,group C,high school,standard,none,59,72,68
female,group B,associate's degree,free/reduced,none,52,76,70
female,group E,some college,standard,none,71,70,76
female,group D,some college,free/reduced,completed,67,86,83
female,group C,master's degree,free/reduced,completed,65,81,81
female,group A,high school,standard,completed,68,80,76
female,group C,high school,standard,none,72,80,75
female,group D,bachelor's degree,standard,none,79,89,89
female,group D,some college,free/reduced,none,77,86,86
female,group C,some high school,free/reduced,completed,29,40,44
female,group B,high school,standard,none,87,95,86
female,group C,high school,standard,none,81,84,82
male,group A,some high school,standard,completed,47,49,49
male,group B,high school,standard,none,52,48,49
male,group E,associate's degree,free/reduced,completed,91,73,80
male,group D,associate's degree,standard,none,52,55,49
male,group E,associate's degree,standard,none,89,76,74
male,group C,bachelor's degree,standard,none,69,63,61
male,group D,some college,standard,completed,82,82,88
male,group C,master's degree,free/reduced,completed,62,68,75
male,group C,associate's degree,free/reduced,completed,65,67,65
male,group A,high school,free/reduced,none,48,45,41
male,group B,high school,standard,none,82,82,80
male,group A,some college,standard,completed,61,51,52
male,group A,high school,free/reduced,completed,72,67,65
male,group D,some high school,standard,none,55,47,44
male,group D,bachelor's degree,free/reduced,none,68,68,67
male,group C,some college,standard,none,66,59,52
male,group D,associate's degree,standard,none,80,75,69
male,group D,associate's degree,standard,completed,67,54,63
male,group A,some college,standard,none,69,67,69
male,group C,some high school,standard,none,73,66,63
male,group C,high school,free/reduced,none,59,53,52
male,group D,some college,standard,completed,58,59,58
male,group B,some college,free/reduced,completed,74,77,76
male,group C,bachelor's degree,standard,completed,71,74,68
male,group B,bachelor's degree,free/reduced,none,55,59,54
male,group D,high school,free/reduced,none,44,51,48
male,group C,high school,standard,completed,53,52,49
male,group D,bachelor's degree,standard,none,80,73,72
male,group E,some high school,standard,none,82,67,61
male,group D,some college,standard,completed,76,83,79
male,group E,some college,standard,none,66,57,52
male,group D,some high school,standard,none,73,66,62
male,group C,associate's degree,free/reduced,completed,60,51,56
male,group B,associate's degree,free/reduced,completed,69,70,63
male,group D,associate's degree,standard,none,80,75,77
male,group C,associate's degree,free/reduced,none,49,51,51
male,group C,associate's degree,free/reduced,none,68,65,61
male,group E,associate's degree,standard,completed,97,82,88
male,group A,some high school,standard,none,51,31,36
male,group E,bachelor's degree,standard,completed,85,66,71
male,group B,high school,standard,none,57,48,51
male,group C,high school,standard,completed,86,81,80
male,group D,some college,standard,none,44,54,53
male,group C,high school,free/reduced,none,54,72,59
male,group E,bachelor's degree,standard,none,82,62,62
male,group C,bachelor's degree,standard,completed,96,90,92
male,group D,some college,standard,none,71,49,52
male,group E,some high school,standard,none,94,88,78
male,group C,some college,free/reduced,none,35,28,27
male,group B,some college,standard,none,58,50,45
male,group E,some college,standard,none,84,77,71
male,group A,associate's degree,free/reduced,completed,40,55,53
male,group D,high school,standard,none,53,52,42
male,group C,bachelor's degree,free/reduced,completed,70,75,74
male,group D,bachelor's degree,standard,none,75,73,74
male,group E,some high school,standard,completed,89,84,77
male,group E,some college,standard,none,68,72,65
male,group B,some college,standard,none,66,65,60
male,group D,bachelor's degree,free/reduced,none,63,66,67
male,group B,bachelor's degree,free/reduced,completed,87,90,88
male,group D,some high school,standard,completed,77,68,69
male,group D,bachelor's degree,free/reduced,completed,39,42,38
male,group B,high school,free/reduced,none,30,24,15
male,group C,some high school,standard,completed,76,80,73
male,group E,associate's degree,standard,completed,62,61,58
male,group D,bachelor's degree,standard,none,88,78,83
male,group C,associate's degree,free/reduced,completed,65,73,68
male,group B,bachelor's degree,free/reduced,none,73,56,57
male,group D,some high school,free/reduced,none,45,37,37
male,group A,some college,standard,completed,78,72,70
male,group C,high school,standard,none,62,55,49
male,group E,high school,standard,none,73,64,57
male,group C,associate's degree,free/reduced,none,58,55,53
male,group D,some college,standard,completed,77,62,62
male,group C,high school,standard,none,70,56,51
male,group E,high school,standard,none,84,73,69